release_year,album_type,album_name,track_name,bpm,number_of_streams,total_time_played,total_time_played_h,average_ms_played,average_ms_played_min,song_length_min,avg_percent_song_played
2024,Remix,Walkin On Water (Remixes),Walkin On Water (Instrumental),95,44,6398844,1:46:39,145428.27,2:25,2:28,98
2024,Remix,Walkin On Water (Remixes),Walkin On Water (Sleigh Ver.),100,44,6720336,1:52:00,152734.91,2:33,2:35,99
2024,Remix,Walkin On Water (Remixes),Walkin On Water (Sped Up Ver.),109,42,5446278,1:30:46,129673.29,2:09,2:09,100
2024,Remix,Walkin On Water (Remixes),Walkin On Water (Sway Ver.),98,44,6170510,1:42:51,140238.86,2:20,2:24,97
2024,Single,Lose My Breath (Feat. Charlie Puth),Lose My Breath (Feat. Charlie Puth),133,39,6508587,1:48:29,166886.85,2:46,2:46,100
2024,Single,Lose My Breath (Feat. Charlie Puth),Lose My Breath (Feat. Charlie Puth) (Instrumental),133,41,6188114,1:43:08,150929.61,2:31,2:46,91
2024,Single,NIGHT (Korean ver.),Falling Up (from Tower of God- WORKSHOP BATTLE) (Korean ver.),81,38,7046530,1:57:27,185435.00,3:05,3:10,97
2024,Single,NIGHT (Korean ver.),NIGHT (from Tower of God- WORKSHOP BATTLE) (Korean ver.),172,40,6844156,1:54:04,171103.90,2:51,2:54,98
2024,Soundtrack,Come Play (from the series Arcane League of Legends),Come Play (Kordhell Remix) (from the series Arcane League of Legends),184,40,5093870,1:24:54,127346.75,2:07,2:10,98
2024,Soundtrack,Come Play (from the series Arcane League of Legends),Come Play (from the series Arcane League of Legends),95,44,6952452,1:55:52,158010.27,2:38,2:41,98
2024,Soundtrack,I'm the Queen in This Life (Original Soundtrack) Part.2,Phobia,95,38,6592240,1:49:52,173480.00,2:53,2:53,100
2024,Soundtrack,I'm the Queen in This Life (Original Soundtrack) Part.2,Phobia - Inst.,95,37,6088944,1:41:29,164566.05,2:45,2:53,95
2024,Soundtrack,SLASH (From Deadpool and Wolverine),SLASH (From Deadpool and Wolverine),160,98,18144385,5:02:24,185146.79,3:05,3:11,97
2024,Soundtrack,The Midnight Studio Pt.5 (Original Soundtrack),Destiny,67,39,9551977,2:39:12,244922.49,4:05,4:12,97
2024,Soundtrack,The Midnight Studio Pt.5 (Original Soundtrack),Destiny - Instrumental,134,36,9073440,2:31:13,252040.00,4:12,4:12,100
2024,Soundtrack,Why?,WHY?,129,292,64912109,18:01:52,222301.74,3:42,3:49,97
2024,Studio Album,GIANT, Ai o Kureta no ni Naze,115,241,46851808,13:00:52,194405.84,3:14,3:15,99
2024,Studio Album,GIANT,Chk Chk Boom -Japanese ver.-,102,49,7125415,1:58:45,145416.63,2:25,2:29,97
2024,Studio Album,GIANT,Christmas Love,166,246,44986859,12:29:47,182873.41,3:03,3:06,98
2024,Studio Album,GIANT,Falling Up,162,248,46978103,13:02:58,189427.83,3:09,3:12,98
2024,Studio Album,GIANT,Falling Up -English ver.-,162,294,55207650,15:20:08,187781.12,3:08,3:10,99
2024,Studio Album,GIANT,GIANT,85,339,57801564,16:03:22,170506.09,2:51,2:54,98
2024,Studio Album,GIANT,NIGHT,172,251,43625810,12:07:06,173808.01,2:54,2:55,99
2024,Studio Album,GIANT,NIGHT -English ver.-,172,292,51177574,14:12:58,175265.66,2:55,2:55,100
2024,Studio Album,GIANT,Saiyan,83,244,52737699,14:38:58,216138.11,3:36,3:39,99
2025,Mini Album,Hollow,Fate,184,392,69593687,19:19:54,177534.92,2:58,3:00,86
2025,Mini Album,Hollow,Hollow,106,463,90720778,25:12:01,195941.21,3:16,3:29,94
2025,Mini Album,Hollow,Never Alone,168,414,70890061,19:41:30,171232.03,2:51,2:57,97
2025,Mini Album,Hollow,Parade,180,421,76905568,21:21:46,182673.56,3:03,3:06,98
2025,Mini Album,Hollow,just a little,92,401,95749157,26:35:49,238775.95,3:59,4:06,97
2025,Mini Album,Hollow,just a little -Spotify Live Version-,92,5,416436,0:06:56,83287.20,1:23,4:06,34
2025,Mixtape,DO IT,DIVINE,99,128,22423698,6:13:44,175185.14,2:55,3:07,94
2025,Mixtape,DO IT,Do It,105,185,25409524,7:03:30,137348.78,2:17,2:39,86
2025,Mixtape,DO IT,Do It (Festival Version),125,92,13103138,3:38:23,142425.41,2:22,2:27,97
2025,Mixtape,DO IT,Holiday,75,117,18333345,5:05:33,156695.26,2:37,3:07,84
2025,Mixtape,DO IT,Photobook,163,96,15943911,4:25:44,166082.41,2:46,2:53,96
